字符串序号	字号大小	简体中文	英语	西班牙语	法语	意大利语	俄语	德语	日语	韩语	土耳其语	乌克兰语	结束列
257	\t	正在停止中	Stopping	Parando…	Arrêt...	Arresto…	Остановка…	Stoppen…	停止中…	중단중	Durduruluyor…	Зупинка…	-
258	\t	正在暂停中	Pausing	Pausando…	Pause…	Pausa…	Пауза…	Pausiere…	一時停止中…	일시중지중	Duraklatılıyor…	Пауза…	-
259	\t	- 	NONE	-	-	-	-	-	-	없음	-	-	- 
260	\t	- 	Update local FW	-	-	-	-	-	-	로컬 FW 업데이트	-	-	- 
261	\t	- 	Network disconnected! Unable to do OTA.	-	-	-	-	-	-	네트워크 연결이 끊어졌습니다! OTA를 할 수 없습니다.	-	-	- 
262	\t	准备更新 	An update is being prepared.	Se está preparando una actualización.	Une mise à jour est en cours de préparation.	Aggiornamento in preparazione	Подготавливается обновление	Eine Aktualisierung ist in Vorbereitung.	アップデートを準備しています。	업데이트를 준비 중입니다.	Güncelleme Hazırlanıyor	Готується оновлення	- 
263	\t	准备中... 	Preparing…	Preparando…	Préparation...	Preparazione…	Подготовка…	Vorbereiten...	準備中…	준비 중…	Hazırlanıyor…	Підготовка…	- 
264	\t	下载中... 	Downloading…	Descargando…	Téléchargement…	Download…	Загрузка…	Herunterladen...	ダウンロード中…	다운로드 중…	İndiriliyor…	Завантаження	- 
265	\t	解压中... 	Unzipping…	Descomprimiendo…	Dézippage...	Decompressione…	Распаковка…	Entpacken...	解凍中…	압축 해제 중…	Sıkıştırlmış Dosya Açılıyor…	Розпакування	- 
266	\t	更新失败... 	Update failed!	¡Actualización fallida!	La mise à jour a échoué !	Aggiornamento fallito!	Обновление не удалось!	Aktualisierung fehlgeschlagen!	アップデートに失敗しました。	업데이트에 실패했습니다!	Güncelleme Başarısız!	Оновлення не вдалось!	- 
267	\t	更新中	Updating...	Actualizando...	Mise à jour en cours...	Aggiornamento...	Идёт обновление...	Aktualisiere…	更新中	업데이트 중…	Güncelleniyor	Йде оновлення…	- 
268	\t	重启中... 	Rebooting…	Reiniciando…	Redémarrage...	Riavvio...	Перезагрузка…	Neustart...	再起動しています…	재부팅 중…	Yeniden başlatılıyor…	Перезавантаження…	- 
269	\t	版本更新失败，网络信号不佳请检查网络环境后重试	Version update failed due to the poor network signal. Please check your network connection status and try again.	No se pudo actualizar la versión debido a una señal de red deficiente. Compruebe el estado de la conexión de red e inténtelo de nuevo.	Échec de mise à jour de la version, car le signal réseau est faible. Vérifiez l’état de votre connexion réseau, puis réessayez.	L'aggiornamento della versione non è riuscito a causa del segnale di rete troppo instabile. Verificare lo stato della connessione di rete e riprovare.	Сбой обновления версии из-за слабого сетевого сигнала. Проверьте состояние сетевого подключения и повторите попытку.	Versionsaktualisierung ist aufgrund des schlechten Netzwerksignals fehlgeschlagen. Bitte den Status Ihrer Netzwerkverbindung überprüfen und erneut versuchen.	ネットワーク信号が弱いため、バージョン更新に失敗しました。ネットワーク接続の状態を確認してから、もう一度お試しください。	네트워크 신호가 약해서 버전 업데이트에 실패했습니다. 네트워크 연결 상태를 확인하고 다시 시도하세요.	Zayıf ağ sinyali nedeniyle sürüm güncellemesi başarısız oldu. Lütfen ağ bağlantı durumunuzu kontrol edin ve tekrar deneyin.	Збій оновлення версії через слабкий мережевий сигнал. Перевірте стан підключення до мережі та повторіть спробу.	- 
270	\t	网络信号不佳，连接超时 	Weak network signal. Connection timed out.	Señal de red débil. Se ha interrumpido la conexión.	Signal réseau faible. Connexion interrompue.	Segnale di rete debole. Timeout della connessione.	Слабый сигнал сети. Соединение прервано.	Schwaches Netzwerksignal. Verbindung wurde unterbrochen.	通信環境の問題で、接続がタイムアウトしました。	네트워크 신호가 약합니다. 연결 시간이 초과되었습니다.	Zayıf ağ sinyali. Bağlantı zaman aşımına uğradı.	Слабкий сигнал мережі. З'єднання перервано.	- 
271	\t	正在校准调平中… 	Leveling…	Nivelando...	Nivellement…	Livellamento…	Выравнивание…	Nivellierung...	レベリング中…	레벨링…	Seviyelendiriliyor…	Вирівнювання…	- 
272	\t	AI功能	AI Function	Función IA	Fonction IA	Funzione IA	Функции ИИ	AI-Funktion	AI機能	AI 기능	AI Fonksiyonu	Функції ШІ	- 
273	\t	AI检测	AI Detection	Detección IA	Détection IA	Rilevazione IA	Обнаружение с помощью ИИ	AI-Erkennung	AI検出	AI 감지	AI Algılama	Виявлення за допомогою ШІ	- 
274	\t	可在打印过程中检测异常情况	Enable anomaly detection during printing.	Habilite la detección de anomalías durante la impresión.	Activez la détection d’anomalie lors de l’impression.	Abilita il rilevamento di anomalie durante la stampa.	Включите функцию обнаружения сбоев во время печати.	Anomalieerkennung beim Drucken aktivieren.	印刷時の異常検知を有効にします。	인쇄 중에 이상 감지를 활성화합니다.	Yazdırma sırasında hata algılamayı etkinleştirin.	Увімкніть функцію виявлення збоїв під час друку.	- 
275	\t	检测频率	Detection Frequency	Frecuencia de detección	Fréquence de détection	Frequenza di rilevazione	Частота срабатывания	Erkennungsfrequenz	検出頻度	감지 빈도	Algılama Sıklığı	Частота спрацьовування	- 
276	\t	常规检测	Regular Detection	Detección periódica	Détection régulière	Rilevazione normale	Обычное обнаружение	Regelmäßige Erkennung	通常検出	정기적인 감지	Düzenli Algılama	Звичайне виявлення	- 
277	\t	专业检测	Advanced Detection	Detección profesional	Détection professionnelle	Rilevazione professionale	Профессиональное обнаружение	Professionelle Erkennung	プロフェッショナル検出	고급 감지	Gelişmiş Algılama	Професійне виявлення	- 
278	\t	异常情况暂停打印	Pause printing in case of anomaly.	Pausa la impresión en caso de anomalías.	Interrompre l'impression en cas d'anomalies.	Metti in pausa la stampa in caso di anomalie	Приостановить печать в случае ошибки	Bei Anomalien den Druckvorgang pausieren.	異常時にプリントを一時停止する	이상이 있을 경우 인쇄를 일시 중지합니다.	Hata durumunda yazdırmayı duraklatın	Призупинити друк у разі помилки	- 
279	\t	常规检测发现较为明显的问题	Regular detection found noticeable issues.	La detección regular encontró problemas importantes.	La détection ordinaire a permis de déceler des problèmes importants.	I testi di routine hanno rilevato notevoli problemi.	При обычной проверке обнаружены значительные проблемы.	Bei der routinemäßigen Überprüfung wurden erhebliche Probleme festgestellt.	定期点検で明らかな問題が確認されました。	정기적으로 감지한 결과 눈에 띄는 문제가 발견되었습니다.	Düzenli algılamada fark edilebilir sorunlar bulundu.	Під час звичайної перевірки виявлено значні проблеми.	- 
280	\t	专业检测频率提高，可发现细小问题	High-frequency detection for minor issues.	La detección profesional tiene una frecuencia más alta y puede detectar problemas menores.	La détection professionnelle a une fréquence plus élevée et peut détecter des problèmes mineurs.	La rilevazione professionale ha una frequenza maggiore e può rilevare problemi di entità minore.	Профессиональное обнаружение срабатывает чаще и распознаёт даже малые неполадки.	Die professionelle Erkennung hat eine höhere Frequenz und kann kleinere Probleme erkennen.	プロフェッショナル検出は高頻度で実行され、より細かい問題まで検出します。	사소한 문제에 대한 고주파 감지.	Küçük sorunlar için yüksek frekanslı algılama.	Професійне виявлення спрацьовує частіше та розпізнає навіть малі неполадки.	- 
281	\t	Z轴偏移	Z-offset	Offset Z	Décalage Z	Z-offset	Z-смещение	Z-Offset	Zオフセット	Z-오프셋	Z-Ofset	Z-зміщення	- 
282	\t	仅在打印中可进行此操作	This operation can only be performed during printing.	Esta operación sólo puede realizarse durante la impresión.	Cette opération ne peut être effectuée que pendant l'impression.	Questa operazione può essere eseguita solo durante la stampa	Данная операция возможна лишь во время печати.	Dieser Vorgang kann nur während des Druckens durchgeführt werden.	この操作はプリント中にのみ実行可能です。	이 작업은 인쇄 중에만 수행할 수 있습니다.	Bu işlem yalnızca yazdırma sırasında gerçekleştirilebilir.	Ця операція можлива лише під час друку.	- 
283	\t	已是最大值	Already at the maximum value.	Ya está en el valor máximo.	Déjà à la valeur maximale.	Valore massimo già raggiunto	Достигнут максимальный предел.	Der Höchstwert ist bereits erreicht.	すでに最大値です。	이미 최대값에 도달했습니다.	Zaten maksimum değerde.	Досягнуто максимальної межі.	- 
284	\t	已是最小值	Already at the minimum value.	Ya está en el valor mínimo.	Déjà à la valeur minimale.	Valore minimo già raggiunto	Достигнут минимальный предел.	Der Mindestwert ist bereits erreicht.	すでに最小値です。	이미 최소값에 도달했습니다.	Zaten minimum değerde.	Досягнуто мінімальної межі.	-  
285	\t	文件读取中... 	Files reading…	Lectura de archivos…	Lecture des fichiers...	Lettura dei file…	Чтение файлов…	Dateien lesen...	ファイル読み込み中…	파일을 읽는 중…	Dosyalar okunuyor…	Читання файлів	-  
286	\t	记录同步中... 	Data synchronization in progress	Sincronización de datos en curso	Synchronisation des données en cours	Sincronizazione dei dati in corso	Идёт синхронизация…	Datensynchronisierung läuft	データ同期中…	데이터 동기화 진행 중	Veri senkronizasyonu devam ediyor…	Йде синхронизація	-  
287	\t	密码错误	Incorrect password	Contraseña incorrecta	Mot de passe incorrect	Password errata	Неправильный пароль	Falsches Passwort	パスワードが間違っています。	잘못된 비밀번호	Yanlış Şifre	Невірний пароль	-  
288	\t	连接失败	Connection failed	Error de conexión	Échec de la connexion	Connessione fallita	Соединение не удалось	Verbindung fehlgeschlagen	接続に失敗しました。	연결에 실패했습니다	Bağlantı başarısız	З'єднання не вдалось	-  
289	\t	正在导出视频 	Exporting video...	Exportación de vídeo…	Exportation vidéo...	Esportazione video in corso…	Экспорт видео…	Video exportieren...	ビデオをエクスポート中…	비디오를 내보내는 중…	Video Dışa Aktarılıyor	Експорт відео…	-  
290	\t	打印中，暂不允许操作	This operation is not allowed during printing	Esta operación no está permitida durante la impresión	Cette opération n'est pas autorisée pendant l'impression	Questa operazione non è permessa durante la stampa	Во время печати эта операция невозможна	Dieser Vorgang ist während des Druckens nicht erlaubt	この操作はプリント中には実行できません。	인쇄 중에는 이 작업이 허용되지 않습니다.	Bu işleme yazdırma sırasında izin verilemez.	Під час друку ця операція неможлива	-  
291	\t	导出成功	Export completed.	Exportación completada.	Exportation terminée.	Esportazione completata.	Экспорт завершён.	Export abgeschlossen.	エクスポート完了	내보내기가 완료되었습니다.	Dışa Aktarım Tamamlandı	Експорт завершено.	-  
292	\t	请确认切刀撞击块没有被拆卸，若已被拆卸，则无法切断耗材，请手动拨动喷头切刀；	Ensure the block for automatic cutting is installed. If not, it is unable to cut the filament.In this case, please manually push the printhead cutter.	Asegúrese de que el bloque de colisión está instalado. Si no, no se puede cortar el filamento. Mueva manualmente el cortador del cabezal de impresión.	Assurez-vous que le bloc de collision soit installé. Si ce n'est pas le cas, il sera impossible de couper le filament. Veuillez déplacer manuellement le dispositif de coupe de la tête d'impression.	Assicurati che il blocchetto per il taglio automatico sia installato. Se non lo è, non sarà possibile usare la modalità di taglio automatico: premi manualmente il sistema di taglio della testa.	Убедитесь, что узел автообрезки нити установлен, иначе автоматическая обрезка будет невозможна. Тогда вручную обрежьте нить обрезчиком на печатающей головке.	Stellen Sie sicher, dass der Kollisionsblock installiert ist. Wenn nicht, kann das Filament nicht geschnitten werden. Bewegen Sie das Druckkopfmesser manuell.	衝突ブロックが取り外されていないことを確認してください。取り外されている場合はフィラメントを切断できません。プリントヘッドカッターを手動で動かしてください。	자동 절단을 위한 블록이 설치되어 있는지 확인하십시오. 그렇지 않으면 필라멘트를 절단할 수 없습니다. 이 경우 프린트 헤드 커터를 수동으로 밀어주십시오.	Otomatik kesim bloğunun takılı olduğundan emin olun. Takılı değilse, filamenti kesemez. Bu durumda, lütfen baskı kafası kesicisini manuel olarak itin.	Переконайтеся, що вузол автообрізки нитки встановлений, інакше автоматичне обрізання буде неможливим. Тоді вручну обріжте нитку обрізувачем на головці.	-  
293	\t	挤出机	Extruder	Extrusora	Extrudeur	Estrusore	Экструдер	Extruder	押出機	압출기	Ekstruder	Екструдер	-  
294	\t	恢复选项	Restore options	Opciones de restauración	Options de restauration	Ripristina le impostazioni	Восстановить настройки	Wiederherstellungsoptionen	復元オプション	복원 옵션	Geri yükleme seçenekleri	Відновити налаштування	-  
295	\t	日志	Logs	Registro	Logs	Log	Логи	Logs	ログ	로그	Kayıtlar	Логі	-  
296	\t	延时摄影视频	Time-lapse photography video	Vídeo time-lapse	Vidéo time-lapse	Video time-lapse	Таймлапсы	Zeitraffer-Fotografie-Video	タイムラプス動画	타임랩스 사진 영상	Hızlandırılmış fotoğrafçılık videosu	Таймлапси	-  
297	\t	Gcode文件	G-code file	Archivo G-code	Fichier G-code	File G-code	Файлы G-кода	G-Code-Datei	Gコードファイル	G-코드 파일	G-code Dosyası	Файли G-коду	-  
298	\t	打印记录及延时摄影文件	Print log and time-lapse files	Imprima registros y archivos de fotografía a intervalos	Imprimer les fichiers journaux et time-lapse	Registro di stampa e file di time-lapse	Журнал печати и файлы таймлапсов	Druckprotokoll und Zeitrafferdateien	ログとタイムラプスファイルを印刷	로그 및 타임랩스 파일 인쇄	Yazdırma geçmişi	Історія друку	-  
299	\t	即将进行振纹优化，是否继续	Confirm to perform input shaping?	¿Realizar el input shaping?	Effectuer l'input shaping ?	Confermi di eseguire l'input shaping?	Выполнить компенсацию резонанса?	Bestätigen Sie, dass Sie Input Shaping durchführen wollen？	インプットシェーピングを実行しますか？	입력 셰이핑을 수행할까요?	Input Shaping işlemini gerçekleştirmek istediğinizi onaylayın.	Виконати компенсацію резонансу?	-  
300	\t	喷头小板连接异常，请检查主板和喷头小板的连接状态或接线	Printhead anomaly detected. Please troubleshoot the connections between the mainboard and printhead board.	Se ha detectado una anomalía en el cabezal de impresión. Solucione el problema de las conexiones entre la placa base y la placa del cabezal de impresión .	Anomalie de la tête d'impression détectée. Veuillez vérifier les connexions entre la carte mère et la carte de la tête d'impression.	Rilevata anomalia nella testa di stampo. Controlla le connessioni tra la scheda madre e la scheda sulla testa.	Обнаружена ошибка печатающей головы. Устраните неисправность проводки между основной платой и платой печатающей головки.	Fehler am Druckkopf entdeckt. Bitte überprüfen Sie die Verbindungen zwischen der Hauptplatine und der Druckkopfplatine.	プリントヘッドに異常が検出されました。メインボードとプリントヘッドボードの接続を確認してください	프린트 헤드 이상이 감지되었습니다. 메인보드와 프린트 헤드 보드 사이의 연결 문제를 해결하세요.	Baskı kafasında hata tespit edildi. Lütfen ana kart ile baskı kafası kartı arasındaki bağlantıları kontrol edin (cihaz kapalıyken).	Виявлено помилку друкуючої голови. Усуньте несправність проводки між основною платою та платою друкувальної головки.	-  
301	\t	应变片小板连接异常，请检查主板和应变片小板的连接状态或接线	Sensor anomaly detected. Please troubleshoot the connections between the mainboard and sensor.	Se ha detectado una anomalía en el sensor de presión. Solucione el problema de las conexiones entre la placa base y el sensor de presión.	Anomalie du capteur de pression détectée. Veuillez vérifier les connexions entre la carte mère et le capteur de pression.	Rilevata anomalia nella cella di carico. Controlla le connessioni tra la scheda madre e la cella di carico.	Обнаружена ошибка тензодатчика. Устраните неисправность проводки между основной платой и тензодатчиком.	Fehler am Dehnungsmessstreifen entdeckt. Bitte überprüfen Sie die Verbindungen zwischen der Hauptplatine und der Dehnungsmessstreifen auf Fehler.	ロードセルに異常が検出されました。メインボードとロードセルの接続を確認してください	센서 이상이 감지되었습니다. 메인보드와 센서 사이의 연결 문제를 해결하세요.	Sensör'de hata tespit edildi. Lütfen ana kart ile sensör arasındaki bağlantıları kontrol edin (cihaz kapalıyken).	Виявлено помилку тензодатчика. Усуньте несправність проводки між основною платою та тензодатчиком.	-  
302	\t	停止	Stop	Detener	Arrêt	Fermare	Остановить	Stopp	停止	정지	Dur	Зупинити	-
303	\t	停止	Stop	Detener	Arrêt	Fermare	Остановить	Stopp	停止	정지	Dur	Зупинити	-
304	\t	暂停	Pause	Pausa	Pause	Pausa	Пауза	Pause	一時停止	일시중지	Duraklat	Пауза	-
305	\t	忽略	Skip	Saltar	Passer	Salta	Пропустить	Überspringen	スキップ	스킵	Geç	Пропустити	-  
306	\t	检测到打印板有异物	Residue detected on the build plate.	Residuo detectado en la placa de impresión.	Résidu détecté sur la plaque d'impression.	Rilevati residui sul piatto di stampa.	На печатной пластине обнаружены остатки печати.	Rückstand auf der Bauplatte entdeckt.	ビルドプレート上に異物が検出されました。	빌드 플레이트에서 잔여물이 감지되었습니다.	Baskı Tablasında Kalıntı tespit edildi	На друкованій пластині виявлено залишки матеріалу.	-  
307	\t	检测到炒面缺陷请检查打印状况后做相应的处理	Spaghetti failure detected. Please check the printing status and address accordingly.	Espagueti detectado. Compruebe el estado de la impresión y tome las medidas oportunas.	Spaghetti détecté. Veuillez vérifier l'état de l'impression et prendre les mesures appropriées.	Spaghetti rilevati. Controlla la stampa in corso e prendi le giuste precauzioni.	Обнаружена потеря адгезии. Проверьте статус печати и примите необходимые меры.	Spaghetti entdeckt. Bitte überprüfen Sie den Druckstatus und ergreifen Sie geeignete Maßnahmen.	スパゲッティ状態が検出されました。プリント状況を確認して適切な処置を行ってください。	스파게티 오류가 감지되었습니다. 인쇄 상태와 주소를 적절히 확인하세요.	Spagetti durumu tespit edildi. Yazdırma durumunu kontrol edin ve uygun önlemleri alın.	Виявлено втрату адгезії. Перевірте статус друку та вживіть необхідних заходів.	-  
308	\t	检测到炒面缺陷请检查打印状况	Spaghetti detected. Please check the printing status.	Espagueti detectado. Por favor, compruebe el estado de impresión	Spaghetti détecté. Veuillez vérifier l'état de l'impression	Spaghetti rilevati Controlla la stampa in corso.	Обнаружена потеря адгезии. Проверьте статус печати.	Spaghetti entdeckt. Bitte überprüfen Sie den Druckstatus.	スパゲッティ状態が検出されました。プリント状況を確認してください。	스파게티가 감지되었습니다. 인쇄 상태를 확인하세요.	Spagetti tespit edildi. Lütfen yazdırma durumunu kontrol edin.	Виявлено втрату адгезії. Перевірте статус друку.	-  
309	\t	请将喷嘴温度加热到%d℃以上	Please heat the nozzle to above 170℃.	Por favor, caliente la boquilla a más de 170℃.	Chauffer la buse à plus de 170℃.	Riscalda l'ugello a più di 170°C.	Нагрейте сопло выше 170°С	Bitte erhitzen Sie die Düse auf über 170℃.	ノズル温度を170℃以上に加熱してください。	노즐을 170℃ 이상으로 가열하세요.	Lütfen nozulu 170℃'nin üzerine ısıtın.	Нагрійте сопло вище 170 ° С	-  
310	\t	请再次确认撞击块已被拆除	Please reconfirm that the filament cutter block has been removed.	Vuelva a confirmar que se ha retirado el bloque cortador de filamento.	Veuillez reconfirmer que le bloc coupe-filament a été retiré.	Riconferma di aver rimosso il blocchetto per il taglio del filamento.	Подтвердите, что блок обрезки нити удалён.	Bitte vergewissern Sie sich, dass der Filamentschneideblock entfernt wurde.	衝突ブロックが取り外されていることを再確認してください。	필라멘트 커터 블록이 제거되었는지 확인하세요.	Filament kesici bloğunun çıkarıldığını lütfen tekrar kontrol edin.	Підтвердьте, що блок обрізки нитки видалено.	-  
311	\t	AI摄像头	AI camera	Cámara IA	Caméra IA	Camera IA	ИИ-камера	AI-Kamera	AIカメラ	AI 카메라	AI Kamera	ШІ-камера	-  
312	\t	有新版本	New version detected	Nueva versión detectada	Nouvelle version détectée	Rilevata nuova versione	Найдено обновление	Neue Version gefunden	新しいバージョンがあります	새로운 버전이 감지되었습니다	(Yeni sürüm tespit edildi)	Знайдено оновлення	-  
313	\t	打印机正在执行其他任务	The printer is performing another operation.	La impresora está realizando otra operación.	L'imprimante effectue une autre opération.	La stampante sta effettuando un'altra operazione.	Выполняется другая операция	Der Drucker führt gerade einen anderen Vorgang aus.	プリンターは他のタスクを実行中です。	프린터가 다른 작업을 수행하고 있습니다.	Yazıcı başka bir işlem gerçekleştiriyor.	Виконується інша операція	-  
314	\t	AI功能(功能优化中)	AI feature (optimizing...)	Función IA (optimización...)	Fonction IA (optimisation...)	Funzionalità IA (ottimizzazione…)	ИИ-функция (оптимизация)	AI-Funktion (Optimieren...)	AI機能（最適化中）	AI 기능(최적화...)	AI özelliği (optimize ediliyor...)	ШІ-функція (оптимізація)	-  
315	\t	更新失败，网络信号不佳或摄像头接线异常	Update failed. Poor network signal or camera wiring issue.	Error de actualización. Mala señal de red o problema de cableado de la cámara.	La mise à jour a échoué. Mauvais signal réseau ou problème de câblage de la caméra.	Aggiornamento fallito. La causa potrebbe essere un segnale di rete debole oppure un problema con il cablaggio della camera	Обновление не удалось. Плохой сигнал сети или проблема с подключением камеры.	Aktualisierung fehlgeschlagen. Schlechtes Netzwerksignal oder Problem mit der Kameraverkabelung.	更新に失敗しました。ネットワーク信号が弱いか、カメラの配線に問題があります。	업데이트 실패. 네트워크 신호가 약하거나 카메라 배선 문제.	Güncelleme başarısız oldu. Ağ sinyali zayıf veya kamera kablolarında sorun var.	Оновлення не вдалось. Поганий сигнал мережі або проблема підключення камери.	-  
316	\t	腔体温度较高可能会造成耗材软化堵头，可以打开盖板或打开机箱门进行打印	High chamber temperatures may cause filaments to soften and lead to extruder clogs. It is recommended to print with the cover or door open.	Las altas temperaturas de la caja pueden reblandecer los filamentos y provocar atascos en el extrusor. Se recomienda imprimir con la tapa o la puerta abiertas.	Des températures élevées dans la boîte peuvent entraîner le ramollissement des filaments et le blocage de l'extrudeuse. Il est recommandé d'imprimer avec le couvercle ou la porte ouverts.	Una temperatura della ca mera elevata può causare un rammollimento del filamento e un conseguente intassamento dell'ugello. Raccomandiamo di stampare con la cover o la porta aperta.	Высокая температура в камере может размягчить нить, что грозит образованием комков пластика на сопле. Советуем печатать с открытой дверцей или крышкой.	Hohe Kammertemperaturen können dazu führen, dass die Filamente weich werden und der Extruder verstopft. Es wird empfohlen, bei geöffneter Abdeckung oder Tür zu drucken.	チャンバー温度が高いため、材料が軟化して詰まる可能性があります。カバーを開けるか、装置のドアを開けてプリントしてください。	챔버 온도가 높으면 필라멘트가 부드러워지고 압출기 막힘이 발생할 수 있습니다. 덮개나 문을 열어 놓고 인쇄하는 것이 좋습니다.	Yüksek oda sıcaklıkları filamentlerin yumuşamasına ve ekstrüderin tıkanmasına neden olabilir. Kapak veya kapı açıkken baskı yapmanız önerilir.	Висока температура в камері може розм'якшити нитку, що загрожує утворенням грудок пластику на соплі. Радимо друкувати з відкритими дверцятами або кришкою.	-  
317	\t	加速度传感器芯片异常	Accelerometer chip error.	Error del chip acelerómetro.	Erreur de puce d'accéléromètre.	Errore dell'accelerometro.	Ошибка акселерометра	Fehler im Beschleunigungssensor-Chip.	加速度センサーチップエラー	가속도계 칩 오류.	İvmeölçer çipi hatası.	Помилка акселерометра	-  
318	\t	加速度传感器芯片异常	Accelerometer chip error.	Error del chip del acelerómetro	Erreur de la puce de l’accéléromètre.	Errore nel chip dell'accelerometro.	Ошибка чипа акселерометра.	Fehler im Beschleunigungsmesserchip.	加速度センサーチップエラーです.	가속도계 칩 오류.	İvmeölçer çipi hatası.	Помилка акселерометра	-  
319	\t	检测到上次升级中断，正在恢复上次升级程序，请稍后	An interruption in the previous update detected. Restoring the previous update... please wait.	Se ha detectado una interrupción en la actualización. Restaurando la actualización anterior... por favor espere.	Une interruption de la mise à jour a été détectée. Restauration de la mise à jour précédente... veuillez patienter.	È stata rilevata un'interruzione del precedente aggiornamento, ripristino del precedente aggiornamento in corso… si prega di attendere	Обнаружено прерванное обновление. Идёт попытка восстановить...	Eine Unterbrechung in der vorherigen Aktualisierung festgestellt. Wiederherstellung des vorherigen Updates... bitte warten.	前回のアップデートが中断されています。アップデートを復元しておりますので、しばらくお待ちください。	이전 업데이트에서 중단이 감지되었습니다. 이전 업데이트를 복원하는 중입니다... 잠시만 기다려 주세요.	Önceki güncellemede bir kesinti tespit edildi. Önceki güncellemeyi geri yüklüyoruz... lütfen bekleyin.	Виявлено перерване оновлення. Іде спроба відновити…	-  
320	\t	非打印中，暂不允许操作	Not in printing mode. Operation is not allowed.	No está en modo de impresión. No se permite la operación.	Non en mode d’impression. L’opération n’est pas autorisée.	Non in modalità di stampa. Operazione non consentita.	Не в режиме печати. Операция не разрешена.	Nicht im Druckmodus. Vorgang ist nicht erlaubt.	印刷モードではありません。操作は許可されていません。	인쇄 모드가 아닙니다. 작업이 허용되지 않습니다.	Yazdırma modunda değil. İşlem yapılmasına izin verilmiyor.	Не в режимі друку.	-  
321	\t	自检异常，请联系售后处理	Self-check error. Please contact customer support.	Error de autocomprobación. Póngase en contacto con el servicio de atención al cliente.	Erreur d'autocontrôle. Veuillez contacter le service clientèle.	Errore nel Self-Check, si prega di contattare il servizio clienti	Ошибка самодиагностики. Обратитесь в техподдержку.	Fehler bei der Selbstprüfung. Bitte kontaktieren Sie den Kundensupport.	セルフチェックエラーが発生しました。カスタマーサポートにお問い合わせください。	자체 검사 오류입니다. 고객 지원팀에 문의하세요.	Otomatik kontrol hatası. Lütfen müşteri hizmetleri ile iletişime geçin.	Помилка самодіагностики. Зверніться до техпідтримки.	-  
322	\t	AI检测功能会随着灯光的关闭而停止检测,是否继续	AI detection will stop when the lights are turned off. Continue?	La detección de IA se detendrá cuando se apaguen las luces. ¿Desea continuar?	La détection par IA est arrêtée si l’éclairage est éteint. Continuer ?	Il rilevamento AI si interrompe quando le luci vengono spente. Continuare?	ИИ-обнаружение остановится, когда выключится освещение. Продолжить?	Die KI-Erkennung endet, wenn das Licht ausgeschaltet wird. Fortfahren?	照明が消えるとAI検知は停止となります。続行しますか？	조명이 꺼지면 AI 감지가 중단됩니다. 계속하시겠습니까?	Işıklar kapatıldığında AI algılama duracaktır. Devam etmek istiyor musunuz?	ШІ-виявлення зупиниться, коли вимкнеться освітлення. Продовжити?	-  
323	\t	异物检测	Foreign object detection	Detección de objetos extraños	Détection de corps étrangers	Rilevazione di corpi estranei	Обнаружен посторонний объект.	Erkennung von Fremdkörpern	異物検出	이물질 감지	Yabancı cisim algılandı.	Виявлення чужорідностей	-  
324	\t	请检查摄像头连接是否正常	Please check if the camera connection is working.	Compruebe que la conexión de la cámara funciona.	Veuillez vérifier que la connexion de la caméra fonctionne.	Si prega di verificare la connessione della camera	Проверьте подключение и работу камеры.	Bitte prüfen Sie, ob die Kameraverbindung funktioniert	カメラが正常に接続されているか確認してください。	카메라 연결이 작동하는지 확인하세요.	Lütfen kamera bağlantısının çalıştığını kontrol edin.	Перевірте підключення та роботу камери	-  
325	\t	调平传感器芯片异常，传感器损坏或受环境影响	Leveling sensor chip abnormal, sensor damaged or environmentally affected. 	Chip del sensor de nivelación anómalo, sensor dañado o afectado por el entorno. 	Composant du capteur de nivellement anormal, capteur endommagé ou influencé par l'environnement. 	Anomalia del chip del sensore di livellamento, sensore danneggiato o influenzato dall'ambiente.	Аномалия чипа датчика выравнивания, датчик повреждён или под влиянием окружающей среды.	Fehler beim Chip des Nivellierungssensors. Der Sensor ist beschädigt oder durch die Umgebung beeinträchtigt.	レベリングセンサチップ異常、センサー損傷または環境影響。	레벨링 센서 칩이 비정상적이거나 센서가 손상되었거나 환경에 영향을 받았습니다.	Seviyeleme sensörü çip hatası. Sensör hasar görmüş veya ortamdan etkilenmiş	Помилка чіпа датчика вирівнювання Датчик пошкоджено або знаходиться під впливом навколишнього середовища.	-  
